number,value,datetime_start,datetime_complete,duration,params_aux_weight,params_batch_size,params_dropout,params_focal_alpha,params_focal_gamma,params_lr,params_pos_weight,params_warmup_ratio,params_weight_decay,state
20,0.4625,2026-03-03 03:18:49.989561,2026-03-03 03:23:22.898155,0 days 00:04:32.908594,0.14238325797689158,16,0.19648195078588446,0.9611411007856849,1.1050294160498062,1.3294769008429269e-05,3.669042378129134,0.15915034903278058,0.002346770646874502,PRUNED
21,0.3008849557522124,2026-03-03 03:23:22.899823,2026-03-03 03:27:50.671114,0 days 00:04:27.771291,0.13955337749547353,8,0.24907350120327365,0.7739480906608186,0.6579017797599014,7.3102150951345556e-06,3.204135427548381,0.1969301994261629,0.007145101787486797,PRUNED
22,0.43795620437956206,2026-03-03 03:27:50.672643,2026-03-03 03:34:31.227722,0 days 00:06:40.555079,0.24898305281492772,8,0.2739032200957491,0.8657493086573053,1.3946970383642943,1.6536123902980295e-05,3.8214290342208064,0.1290197471102253,0.00981905698827649,PRUNED
23,0.4972375690607735,2026-03-03 03:34:31.229476,2026-03-03 03:43:26.436203,0 days 00:08:55.206727,0.23283056949012879,8,0.2414898014291186,0.7539385139264555,1.7924118082433702,8.245667366559697e-06,4.551624429493681,0.07498942658311214,0.026601317767536548,PRUNED
24,0.5121951219512195,2026-03-03 03:43:26.437795,2026-03-03 03:52:21.692185,0 days 00:08:55.254390,0.305716389484436,8,0.2216303006156169,0.6802587274616091,1.9830248455807264,1.1624061089488946e-05,4.565945345707507,0.08929198086389982,0.061379514608980966,PRUNED
25,0.16260162601626016,2026-03-03 03:52:21.693809,2026-03-03 03:56:49.397435,0 days 00:04:27.703626,0.15055950545341437,8,0.2608121463928317,0.5994814550493791,1.7597354369653126,1.5281515601975853e-05,3.9765759891301067,0.06466388145140492,0.020654222753762237,PRUNED
26,0.4713375796178344,2026-03-03 03:56:49.399255,2026-03-03 04:01:17.253335,0 days 00:04:27.854080,0.2291840564120761,8,0.235920390589708,0.7209780675426398,1.5390612853192196,9.57314140516175e-06,4.606812650749161,0.09799783827879996,0.0024559007569124143,PRUNED
27,0.42424242424242425,2026-03-03 04:01:17.254921,2026-03-03 04:05:44.980209,0 days 00:04:27.725288,0.37927881594597684,8,0.2080290254841151,0.7815180436736701,1.8269073893229049,6.239479232639728e-06,3.535857909282579,0.08091509687438161,0.009622984082572937,PRUNED
28,0.41379310344827586,2026-03-03 04:05:44.981902,2026-03-03 04:10:17.876448,0 days 00:04:32.894546,0.27272051952243204,16,0.24967294946407564,0.6614350396070161,1.6630850600640554,7.79380933227855e-06,4.3298236601316855,0.10763735440645736,0.0010197031487573546,PRUNED
29,0.5420560747663551,2026-03-03 04:10:17.878091,2026-03-03 04:25:53.432753,0 days 00:15:35.554662,0.20517501047271103,8,0.19582073565497884,0.7081461100519586,1.8677012270958189,2.4948980491477874e-05,4.934437412470515,0.05080277844397989,0.024909029135833125,COMPLETE
